2020-06-04 18:41:30,659[line:2] - INFO: --------------------------------------------------------------
2020-06-04 18:41:30,661[line:4] - INFO: Network loading, learningRate: 0.0001, BatchSize: 12, experimentTimes: 0
2020-06-04 18:41:30,668[line:15] - INFO: DataLoader have been created!
2020-06-04 18:41:34,023[line:18] - INFO: Network have been established.
2020-06-04 18:41:34,029[line:24] - INFO: Train begining.
2020-06-04 19:26:06,382[line:3] - INFO: 575: (train) acc:75.0%, loss:0.6440878510475159
2020-06-04 19:26:14,184[line:3] - INFO: 580: (train) acc:66.66666666666666%, loss:0.7734031677246094
2020-06-04 19:26:21,973[line:3] - INFO: 585: (train) acc:75.0%, loss:0.4398830235004425
2020-06-04 19:26:30,099[line:3] - INFO: 590: (train) acc:66.66666666666666%, loss:0.6808393597602844
2020-06-04 19:26:38,253[line:3] - INFO: 595: (train) acc:58.333333333333336%, loss:1.2093161344528198
2020-06-04 19:26:46,446[line:3] - INFO: 600: (train) acc:91.66666666666666%, loss:0.4198038578033447
2020-06-04 19:26:46,458[line:45] - INFO: Evaluating!
2020-06-04 19:28:50,109[line:17] - INFO: Evaluationg, 12
2020-06-04 19:28:51,324[line:17] - INFO: Evaluationg, 24
2020-06-04 19:28:51,557[line:17] - INFO: Evaluationg, 36
2020-06-04 19:28:52,089[line:17] - INFO: Evaluationg, 48
2020-06-04 19:28:52,297[line:17] - INFO: Evaluationg, 60
2020-06-04 19:28:52,560[line:17] - INFO: Evaluationg, 72
2020-06-04 19:28:52,789[line:17] - INFO: Evaluationg, 84
2020-06-04 19:28:52,999[line:17] - INFO: Evaluationg, 96
2020-06-04 19:29:25,980[line:17] - INFO: Evaluationg, 108
2020-06-04 19:29:28,792[line:17] - INFO: Evaluationg, 120
2020-06-04 19:29:28,986[line:17] - INFO: Evaluationg, 132
2020-06-04 19:29:29,165[line:17] - INFO: Evaluationg, 144
2020-06-04 19:29:29,360[line:17] - INFO: Evaluationg, 156
2020-06-04 19:29:29,491[line:17] - INFO: Evaluationg, 165
2020-06-04 19:29:29,678[line:3] - INFO: 600: (eval) acc:77.57575757575758%, loss:0.055240047519857234
2020-06-04 19:29:37,146[line:3] - INFO: 605: (train) acc:83.33333333333334%, loss:0.3417045772075653
2020-06-04 19:29:44,376[line:3] - INFO: 610: (train) acc:75.0%, loss:0.5917182564735413
2020-06-04 19:29:51,576[line:3] - INFO: 615: (train) acc:75.0%, loss:1.2956340312957764
